transaction_id,date,product_id,store_id,customer_id,quantity,discount,returned,month,year
T0000001,8/2/2023,P004681,S004,C010043,3.0,0.00,0.0,8,2023
T0000002,8/16/2020,P006662,S003,C022472,1.0,0.00,0.0,8,2020
T0000003,2/21/2020,P043402,S005,C016135,4.0,0.00,0.0,2,2020
T0000004,2/27/2024,P029875,S003,C005605,3.0,0.00,1.0,2,2024
T0000005,7/17/2021,P002476,S003,C005857,4.0,0.00,0.0,7,2021
T0000006,5/16/2021,P029990,S005,C008363,3.0,0.10,0.0,5,2021
T0000007,4/2/2021,P012742,S004,C009301,4.0,0.00,0.0,4,2021
T0000008,10/12/2020,P013477,S003,C000971,1.0,0.20,0.0,10,2020
T0000009,2/17/2024,P009924,S004,C009786,1.0,0.00,0.0,2,2024
T0000010,7/28/2020,P017086,S002,C013109,4.0,0.00,1.0,7,2020
T0000012,2/25/2024,P020432,S003,C015117,2.0,0.20,0.0,2,2024
T0000013,1/21/2023,P039287,S004,C003825,1.0,0.00,0.0,1,2023
T0000014,6/27/2020,P035161,S004,C000260,4.0,0.00,0.0,6,2020
T0000015,4/24/2023,P004069,S003,C003101,2.0,0.10,0.0,4,2023
T0000016,5/14/2022,P045344,S001,C013538,4.0,0.20,1.0,5,2022
T0000017,3/6/2020,P023494,S002,C020786,4.0,0.00,0.0,3,2020
T0000020,3/23/2021,P027083,S002,C010490,3.0,0.00,0.0,3,2021
T0000021,4/21/2021,P001095,S005,C015618,3.0,0.00,0.0,4,2021
T0000022,10/31/2022,P038967,S004,C000704,1.0,0.10,0.0,10,2022
T0000023,5/17/2023,P029378,S004,C014336,4.0,0.00,0.0,5,2023
T0000024,2/24/2020,P034054,S001,C024799,1.0,0.00,0.0,2,2020
T0000025,2/23/2023,P020684,S003,C006404,1.0,0.00,0.0,2,2023
T0000026,2/11/2021,P009765,S002,C010101,1.0,0.00,1.0,2,2021
T0000027,1/6/2024,P001916,S004,C024847,4.0,0.00,0.0,1,2024
T0000028,8/23/2023,P004993,S002,C013077,3.0,0.00,0.0,8,2023
T0000029,12/7/2023,P035487,S002,C002945,4.0,0.10,0.0,12,2023
T0000030,1/21/2023,P025703,S005,C017670,2.0,0.00,1.0,1,2023
T0000031,5/9/2022,P023373,S003,C014849,4.0,0.10,1.0,5,2022
T0000032,3/27/2021,P024763,S001,C018314,1.0,0.30,0.0,3,2021
T0000033,7/8/2022,P040513,S004,C021637,4.0,0.00,0.0,7,2022
T0000034,4/21/2023,P023648,S004,C010896,1.0,0.10,0.0,4,2023
T0000035,7/23/2021,P000480,S001,C001121,2.0,0.00,0.0,7,2021
T0000036,7/15/2024,P043501,S003,C014784,3.0,0.10,0.0,7,2024
T0000037,11/15/2024,P005758,S001,C016638,3.0,0.00,0.0,11,2024
T0000038,1/14/2020,P019343,S004,C018290,2.0,0.00,0.0,1,2020
T0000039,4/3/2024,P002932,S003,C022632,1.0,0.00,0.0,4,2024
T0000040,7/8/2024,P048802,S001,C014964,4.0,0.00,0.0,7,2024
T0000041,11/22/2020,P011609,S002,C007200,3.0,0.00,0.0,11,2020
T0000042,11/30/2023,P001126,S004,C021434,3.0,0.00,0.0,11,2023
T0000043,5/15/2022,P001066,S005,C023088,1.0,0.00,0.0,5,2022
T0000044,11/27/2021,P022170,S001,C024256,3.0,0.00,0.0,11,2021
T0000045,7/23/2021,P021385,S005,C017185,3.0,0.00,0.0,7,2021
T0000046,11/14/2020,P044712,S004,C000683,3.0,0.00,0.0,11,2020
T0000047,3/16/2021,P025344,S003,C021202,1.0,0.00,0.0,3,2021
T0000048,4/12/2024,P042729,S003,C015450,2.0,0.00,1.0,4,2024
T0000049,11/20/2021,P025948,S005,C004385,3.0,0.10,0.0,11,2021
T0000050,7/28/2020,P023585,S003,C005163,3.0,0.10,0.0,7,2020
T0000051,7/8/2020,P023652,S001,C013359,4.0,0.10,0.0,7,2020
T0000052,2/17/2022,P015414,S005,C005907,4.0,0.20,1.0,2,2022
T0000053,7/17/2020,P043429,S001,C008620,2.0,0.00,0.0,7,2020
T0000054,1/5/2022,P029008,S002,C018231,3.0,0.10,0.0,1,2022
T0000055,10/1/2024,P016877,S004,C012894,2.0,0.20,0.0,10,2024
T0000057,5/21/2023,P049276,S002,C009237,1.0,0.00,0.0,5,2023
T0000058,6/25/2021,P005314,S005,C001836,1.0,0.30,0.0,6,2021
T0000059,7/10/2024,P041745,S004,C018250,3.0,0.10,0.0,7,2024
T0000060,3/29/2020,P016059,S002,C013209,2.0,0.10,0.0,3,2020
T0000061,2/3/2024,P011135,S002,C010999,1.0,0.00,0.0,2,2024
T0000062,7/29/2022,P017159,S004,C014217,3.0,0.20,0.0,7,2022
